rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rgr__C,param_rgr__epsilon,param_rgr__loss,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
38,0.029840421676635743,0.0006229504805147662,0.007606935501098633,0.00045037834775820486,100.0,0.0001,epsilon_insensitive,"{'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.0001), 'rgr__loss': 'epsilon_insensitive'}",-1.1163391528717552,-0.910479501937125,-0.40774111949617525,-0.7025751773062151,-0.8687386378649714,-0.8011747178952484,0.2367922743350335
39,0.029144859313964842,0.00030187651009387786,0.007379913330078125,0.0004859768097326471,100.0,0.0001,squared_epsilon_insensitive,"{'rgr__C': np.float64(100.0), 'rgr__epsilon': np.float64(0.0001), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.1153774539052346,-0.9109037212618009,-0.40752256615664245,-0.7029061148528841,-0.8697952719064742,-0.8013010256166073,0.23668174795404706
40,0.02986311912536621,0.00048729794742525596,0.0073220252990722655,0.0003263661550837645,10.0,0.0001,epsilon_insensitive,"{'rgr__C': np.float64(10.0), 'rgr__epsilon': np.float64(0.0001), 'rgr__loss': 'epsilon_insensitive'}",-1.1156523545448358,-0.9113628008458374,-0.4077183766565893,-0.7027234611638422,-0.8694219089920635,-0.8013757804406337,0.23672584014078846
41,0.02679915428161621,0.0004778929085489958,0.007194662094116211,0.0004144152650000242,0.01,0.0001,squared_epsilon_insensitive,"{'rgr__C': np.float64(0.01), 'rgr__epsilon': np.float64(0.0001), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.0713420595812897,-0.9261999956784888,-0.4882507645411908,-0.9349048961623809,-0.8914932900644975,-0.8624382012055696,0.19688486295431243
42,0.027471494674682618,0.00040884929452838646,0.007540082931518555,0.0003486418482675729,0.01,0.0,squared_epsilon_insensitive,"{'rgr__C': np.float64(0.01), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.0714264779765275,-0.9265984575404581,-0.48823479878460857,-0.9346078044518391,-0.8914406939434215,-0.8624616465393709,0.19691135984162594
43,0.026864957809448243,0.0005891258616849191,0.0073185920715332035,0.00044525573458300947,0.01,0.001,squared_epsilon_insensitive,"{'rgr__C': np.float64(0.01), 'rgr__epsilon': np.float64(0.001), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.0725699090130407,-0.9263386495349917,-0.48843031017886357,-0.9352536224555109,-0.8917175480821031,-0.8628620078529021,0.197118731802932
44,0.027314519882202147,0.000634985239438428,0.007358026504516601,0.00028321933179708707,0.01,0.01,squared_epsilon_insensitive,"{'rgr__C': np.float64(0.01), 'rgr__epsilon': np.float64(0.01), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.0790567610741966,-0.9274555940278492,-0.4904328746714478,-0.9377693185712678,-0.8945958112877882,-0.86586207192651,0.1980853853745496
45,0.026762723922729492,0.0005262930798521804,0.007347917556762696,0.0004180213718703201,0.01,0.1,squared_epsilon_insensitive,"{'rgr__C': np.float64(0.01), 'rgr__epsilon': np.float64(0.1), 'rgr__loss': 'squared_epsilon_insensitive'}",-1.1533832067811844,-0.9378201752641399,-0.5122429088505388,-0.9720246676245041,-0.9254197356028838,-0.9001781388246503,0.21062883653942302
46,0.026780223846435545,0.0005352321464698487,0.007764863967895508,0.0005369913761679279,0.01,0.001,epsilon_insensitive,"{'rgr__C': np.float64(0.01), 'rgr__epsilon': np.float64(0.001), 'rgr__loss': 'epsilon_insensitive'}",-1.2005824247437495,-0.971736039081965,-0.607788091803465,-1.0657902019322458,-0.9962347223489656,-0.9684262959820782,0.19708900303824348
47,0.027272844314575197,0.0006870860865210423,0.0073925495147705075,0.0002484643095304092,0.01,0.0,epsilon_insensitive,"{'rgr__C': np.float64(0.01), 'rgr__epsilon': np.float64(0.0), 'rgr__loss': 'epsilon_insensitive'}",-1.1996412804035468,-0.9721177848215408,-0.6076474161487728,-1.0654518633935663,-0.9979253595435444,-0.9685567408621942,0.19693626717689017
