rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rgr__subsample,param_rgr__n_estimators,param_rgr__min_child_weight,param_rgr__max_depth,param_rgr__learning_rate,param_rgr__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
21,0.5514087200164794,0.011335072455844046,0.023811483383178712,0.0025076266655336067,0.6,400,0.1,10,0.1,0.1,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 400, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 10, 'rgr__learning_rate': 0.1, 'rgr__gamma': 0.1}",-0.19786618866394548,-0.26037642175853554,-0.2026446992742097,-0.42307798333433766,-0.3763844767270699,-0.29206995395161967,0.09181257872967508
22,0.6270899772644043,0.015332912672097042,0.026394748687744142,0.001063192388407568,0.5,700,0.1,6,0.05,1.0,"{'rgr__subsample': 0.5, 'rgr__n_estimators': 700, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 6, 'rgr__learning_rate': 0.05, 'rgr__gamma': 1}",-0.17005908015237897,-0.26902997581875765,-0.2005056877392446,-0.42102702207067444,-0.4008338795342122,-0.29229112906305355,0.10223578737259899
23,0.9906964778900147,0.011810558532369233,0.03419647216796875,0.0031280106470558296,0.5,900,0.0,3,0.01,1.0,"{'rgr__subsample': 0.5, 'rgr__n_estimators': 900, 'rgr__min_child_weight': 0, 'rgr__max_depth': 3, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1}",-0.17365459450142,-0.27804704242946665,-0.202950938364142,-0.41062421227650064,-0.39653724033245036,-0.2923628055807959,0.09708669900754971
24,0.5035869121551514,0.004053821417037471,0.025894880294799805,0.0023638145718460875,0.6,600,0.0,7,0.1,1.0,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 600, 'rgr__min_child_weight': 0, 'rgr__max_depth': 7, 'rgr__learning_rate': 0.1, 'rgr__gamma': 1}",-0.17440572963768994,-0.26698452007751017,-0.20707891437269432,-0.424433932145812,-0.3892212241725895,-0.2924248640812592,0.09864642690710845
25,0.758771276473999,0.012561938299416946,0.026434707641601562,0.002204788751582239,0.7,400,0.0,5,0.01,1.0,"{'rgr__subsample': 0.7, 'rgr__n_estimators': 400, 'rgr__min_child_weight': 0, 'rgr__max_depth': 5, 'rgr__learning_rate': 0.01, 'rgr__gamma': 1}",-0.1829455521540918,-0.28766006569055463,-0.20893443894529137,-0.3991804594777755,-0.38993585711515544,-0.29373127467657373,0.089303629826383
26,0.38563852310180663,0.017116043718347112,0.020250988006591798,0.0008540917234067843,0.5,300,0.0,8,0.05,1.0,"{'rgr__subsample': 0.5, 'rgr__n_estimators': 300, 'rgr__min_child_weight': 0, 'rgr__max_depth': 8, 'rgr__learning_rate': 0.05, 'rgr__gamma': 1}",-0.17410408552791798,-0.2697546244972295,-0.2017224381144417,-0.41739236707850536,-0.40689656030568727,-0.29397401510475635,0.10143897000061523
27,0.27437314987182615,0.010490959682974454,0.01824026107788086,0.0011625057598355648,0.6,200,1.0,10,0.1,1.0,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 200, 'rgr__min_child_weight': 1, 'rgr__max_depth': 10, 'rgr__learning_rate': 0.1, 'rgr__gamma': 1}",-0.17428525506758316,-0.28245493686134826,-0.19774858690962835,-0.4189372083114255,-0.39921653106268956,-0.294528503642535,0.10040684340025836
27,0.25763449668884275,0.00690125140504767,0.0171816349029541,0.0008870617943346708,0.6,200,0.0,8,0.1,1.0,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 200, 'rgr__min_child_weight': 0, 'rgr__max_depth': 8, 'rgr__learning_rate': 0.1, 'rgr__gamma': 1}",-0.17428525506758316,-0.28245493686134826,-0.19774858690962835,-0.4189372083114255,-0.39921653106268956,-0.294528503642535,0.10040684340025836
29,0.5586110591888428,0.00948006061705819,0.02589426040649414,0.00330112014730736,0.5,500,1.0,2,0.01,0.1,"{'rgr__subsample': 0.5, 'rgr__n_estimators': 500, 'rgr__min_child_weight': 1, 'rgr__max_depth': 2, 'rgr__learning_rate': 0.01, 'rgr__gamma': 0.1}",-0.17679561907697547,-0.2844997398909947,-0.2036326287328547,-0.410471688960115,-0.39736922947267983,-0.29455378122672393,0.09616933212015588
30,0.5399429321289062,0.011790873289944596,0.02602677345275879,0.003386218804247038,0.6,600,0.1,3,0.05,1.0,"{'rgr__subsample': 0.6, 'rgr__n_estimators': 600, 'rgr__min_child_weight': 0.1, 'rgr__max_depth': 3, 'rgr__learning_rate': 0.05, 'rgr__gamma': 1}",-0.18257485523099787,-0.2686096109479442,-0.2106585058789385,-0.4136443592602124,-0.39795677544184804,-0.2946888213519882,0.0950004746031488
