Title,model_score,raw_score,time_est,release_date,genre_metacritic,developer_metacritic
Middle-earth: Shadow of War,1170.509100695762,1170.509100695762,37.138333333333335,9/27/2017,Open-World Action,Monolith Productions
BattleBlock Theater,1167.7305359090544,1167.7305359090544,13.023888888888889,4/3/2013,2D Platformer,The Behemoth
Kingdom Come: Deliverance,1167.6067526847892,1167.6067526847892,79.65416666666667,2/13/2018,Action RPG,Warhorse Studios
Griftlands,1167.1375070445781,1167.1375070445781,17.45722222222222,6/15/2020,Card Battle,Klei Entertainment
Spelunky,1165.3952632348012,1165.3952632348012,38.103611111111114,7/4/2012,2D Platformer,Mossmouth
Stellaris,1164.6637981192878,1164.6637981192878,85.44194444444445,5/9/2016,Real-Time Strategy,Paradox Development Studio
Terra Nil,1164.145176526644,1164.145176526644,7.820555555555556,3/28/2023,Real-Time Strategy,Free Lives
Cities Skylines,1160.0336734080252,1160.0336734080252,51.34888888888889,3/10/2015,Management,Colossal Order
APE OUT,1160.0000488393973,1160.0000488393973,2.463611111111111,2/28/2019,Top-Down Em-Up,Gabe Cuzzillo
Cosmic Star Heroine,1159.7457882260758,1159.7457882260758,15.347777777777777,4/11/2017,JRPG,Zeboyd Games
The Legend Of Zelda,1157.2798688261362,1157.2798688261362,8.3575,2/21/1986,Open-World Action,Nintendo
SUPERHOT VR,1156.6676663430142,1156.6676663430142,2.262777777777778,12/6/2016,Tactical FPS,SUPERHOT
Skyrim VR,1155.9197237223007,1155.9197237223007,87.5375,11/17/2017,Western RPG,Bethesda Softworks
Saints Row: The Third Remastered,1154.570282636704,1154.570282636704,21.94361111111111,5/22/2020,Open-World Action,Volition Inc.
Fire Emblem: The Binding Blade,1154.073410047232,1154.073410047232,32.97222222222222,3/29/2002,Turn-based Tactics,Intelligent Systems
Momodora: Reverie Under the Moonlight,1153.0322325349357,1153.0322325349357,5.560555555555555,3/4/2016,Metroidvania,Bombservice
Final Fantasy III,1152.7573194300778,1152.7573194300778,18.275,7/28/2021,JRPG,TOSE
Nightmare Kart,1151.3057202421583,1151.3057202421583,2.206111111111111,,Auto Racing,LWMedia
Scarlet Nexus,1149.0793972047306,1149.0793972047306,33.691944444444445,6/24/2021,Action RPG,Bandai Namco Games
Mundaun,1149.0436197931183,1149.0436197931183,7.181388888888889,3/16/2021,First-Person Adventure,Hidden Fields
A Way Out,1146.951532363145,1146.951532363145,6.281666666666666,3/23/2018,Linear Action Adventure,Hazelight
Darksiders,1146.8052263121608,1146.8052263121608,19.752777777777776,1/5/2010,Open-World Action,Vigil Games
Getting Over It with Bennett Foddy,1146.677265328263,1146.677265328263,9.352222222222222,12/6/2017,2D Platformer,Bennett Foddy
Myst,1145.8246296492616,1145.8246296492616,5.6594444444444445,9/24/1993,First-Person Adventure,Cyan Worlds
Ynglet,1145.771547628727,1145.771547628727,1.7394444444444443,6/5/2021,2D Platformer,Nifflas Games
Untitled Goose Game,1145.551998801877,1145.551998801877,3.631111111111111,9/20/2019,Action Adventure,22nd Century Toys
Rollerdrome,1142.7149230856396,1142.7149230856396,6.072222222222222,,Third Person Shooter,roll7
Persona 5 Tactica,1142.542864439312,1142.542864439312,30.276944444444446,11/17/2023,Turn-Based Tactics,P-Studio
