Title,My Rating,raw_score,release_date,genre_metacritic,developer_metacritic
Alpha Protocol,2.5,2.6330854733928053,2010-05-28,Western RPG,Obsidian Entertainment
NCAA Football 07,3.0,2.5466321783514356,2006-07-18,Football Sim,EA Sports
Major League Baseball 2K8,2.0,2.544278252987886,2008-03-04,Baseball Sim,Kush Games
Need for Speed: Carbon,2.0,2.539597598442563,2008-12-31,Auto Racing,EA Canada
"Pokémon: Let's Go, Pikachu!",3.0,2.5136525845924136,2018-11-16,Trainer RPG,Game Freak
Star Wars: The Force Unleashed,2.5,2.4980327117789733,2008-09-16,Linear Action Adventure,LucasArts
Borderlands 3,2.0,2.490703655440768,2019-09-13,FPS,Gearbox Software
Major League Baseball 2K6,2.0,2.475735623960557,2006-04-03,Baseball Sim,Kush Games
Amped 3,2.0,2.426817699043783,2005-11-22,Skiing,2K Sports
Major League Baseball 2K11,2.0,2.3977195685422847,2011-03-08,Baseball Sim,Visual Concepts
Dragon Age II,2.5,2.3933855107702016,2011-03-08,Action RPG,BioWare
Star Wars Episode I: Racer,2.0,2.347025900347884,1999-05-18,Future Racing,LucasArts
Perfect Dark Zero,1.0,2.2370368801734375,2005-11-17,FPS,Rare Ltd.
Sid Meier's Civilization: Beyond Earth,2.0,2.197220421463695,2014-10-24,4X Strategy,Firaxis Games
Mass Effect Andromeda,2.5,2.1856102527928707,2017-03-21,Action RPG,BioWare
Dragon Age: The Veilguard,3.0,2.1696961178335528,2024-10-31,Western RPG,BioWare
Madden NFL 25,2.0,2.1620454336368047,2013-11-15,Football Sim,EA Sports
Hyperdimension Neptunia U: Action Unleashed,1.5,2.148046092016226,2014-08-28,3D Beat-'Em-Up,Tamsoft
Madden NFL 07,2.0,2.1288961545204432,2006-08-22,Football Sim,EA Tiburon
Amazing Island,2.0,1.7721954520477676,2004-01-15,Action Adventure,Hitmaker
Madden NFL 06,2.0,1.5946579063877966,2005-08-08,Football Sim,EA Tiburon
Pokémon Shield,1.0,1.5563696971556704,2019-11-15,Trainer RPG,Game Freak
Two Worlds,1.0,1.5443302166052684,2021-07-28,RPG,Reality Pump
Zoo Tycoon,2.0,1.516159418972602,2001-08-27,Tycoon,Frontier Developments
