rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__categorical__encode__min_frequency,param_rgr__C,param_rgr__gamma,param_rgr__shrinking,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score
48,0.03910198211669922,0.0006650755148231928,0.014275169372558594,0.0005486732018647725,3,10,scale,True,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': 10, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-55784.88676967611,-65808.62439874727,-53188.09641168927,-88735.22667363979,-97748.5571464391,-72253.0782800383,17876.72514408788
49,0.038997745513916014,0.0008310490252495791,0.017102432250976563,0.003444102697475984,2,10,scale,True,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': 10, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-55855.47971803404,-65838.22747925164,-53200.21541348935,-88814.79523903289,-97694.47659568931,-72280.63888909944,17858.300880868355
50,0.03960103988647461,0.002308597123934967,0.014402103424072266,0.0004894364324961298,,10,scale,True,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': 10, 'rgr__gamma': 'scale', 'rgr__shrinking': True}",-55905.97576548771,-65803.5815238403,-53179.00682254735,-88847.81847554102,-97667.9971600862,-72280.87594950052,17854.65547849309
51,0.039617061614990234,0.0024603359925250826,0.014601564407348633,0.0008007817966407344,5,10,auto,True,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': 10, 'rgr__gamma': 'auto', 'rgr__shrinking': True}",-58664.03769170213,-71512.3436910194,-55635.66372579259,-90703.1841701314,-99968.16389775055,-75296.67863527921,17456.024981943225
52,0.03720026016235352,0.0002444590414345027,0.013601732254028321,0.0008006493392127841,4,10,auto,True,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': 10, 'rgr__gamma': 'auto', 'rgr__shrinking': True}",-58850.74222459203,-71624.35912891944,-55761.53949562853,-90985.01465664402,-100594.18667118202,-75563.1684353932,17614.250662827893
53,0.03939995765686035,0.0012446263403626855,0.01582446098327637,0.0014414819360256332,3,10,auto,True,"{'preprocess__categorical__encode__min_frequency': 3, 'rgr__C': 10, 'rgr__gamma': 'auto', 'rgr__shrinking': True}",-59576.81621242113,-71932.3247668501,-56225.73280408536,-92190.27635307604,-102945.83582316153,-76574.19719191882,18241.94723805609
54,0.038800525665283206,0.0011251161591516682,0.013401079177856445,0.0004908184585848056,2,10,auto,True,"{'preprocess__categorical__encode__min_frequency': 2, 'rgr__C': 10, 'rgr__gamma': 'auto', 'rgr__shrinking': True}",-60823.34720272577,-74369.86375173219,-57187.7119857664,-93077.57512586468,-105421.29842337409,-78175.95929789261,18549.785407997395
55,0.037502479553222653,0.0007745182074123246,0.014599180221557618,0.00037485192606039736,,10,auto,True,"{'preprocess__categorical__encode__min_frequency': None, 'rgr__C': 10, 'rgr__gamma': 'auto', 'rgr__shrinking': True}",-65021.255259697595,-80363.16666081126,-61772.13206322948,-97255.69099441615,-110567.53441705745,-82995.95587904239,18676.21014781067
56,0.03800392150878906,0.0009533703200292374,0.01380615234375,0.0004024035643304908,4,10,0.1,True,"{'preprocess__categorical__encode__min_frequency': 4, 'rgr__C': 10, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-68577.13748884932,-81121.52391086402,-70837.59781188374,-110119.44339185639,-123157.17879059471,-90762.57627880965,21937.39696637096
57,0.03900141716003418,0.0019282380859690018,0.013697957992553711,0.0004014931665008014,5,10,0.1,True,"{'preprocess__categorical__encode__min_frequency': 5, 'rgr__C': 10, 'rgr__gamma': 0.1, 'rgr__shrinking': True}",-68512.15907484661,-81096.97683602755,-70830.580883771,-110176.50975074191,-123236.0757791161,-90770.46046490064,21987.350866412395
